tweet_id,rating_numerator,rating_denominator,name,rating,breed,conf,outcome,retweet_cnt,favorite_cnt
673270968295534593,11,10,Mac,1.1,Shih-Tzu,0.610453,True,312,954
673240798075449344,6,10,no-name,0.6,Airedale,0.443004,True,615,1275
673213039743795200,10,10,Dexter,1.0,schipperke,0.8880819999999999,True,723,1966
672997845381865473,12,10,Kenzie,1.2,chow,0.517255,True,631,1750
672995267319328768,8,10,Pumpkin,0.8,French_bulldog,0.7195590000000001,True,252,845
672988786805112832,10,10,Schnozz,1.0,Lakeland_terrier,0.8366319999999999,True,254,874
672980819271634944,5,10,no-name,0.5,basset,0.219461,True,889,1624
672975131468300288,10,10,Chuckles,1.0,pug,0.8364209999999999,True,780,1498
672968025906282496,11,10,Gustaf,1.1,toy_poodle,0.678046,True,470,1180
672964561327235073,10,10,Terry,1.0,Chihuahua,0.2923429999999999,True,557,1260
672877615439593473,8,10,Oscar,0.8,Chihuahua,0.412362,True,301,907
672834301050937345,10,10,Ed,1.0,Pembroke,0.5825600000000001,True,503,1151
672640509974827008,9,10,Leonidas,0.9,Chesapeake_Bay_retriever,0.420155,True,270,873
672622327801233409,12,10,no-name,1.2,golden_retriever,0.952773,True,422,1145
672604026190569472,11,10,a,1.1,toy_poodle,0.8201579999999999,True,336,967
672594978741354496,9,10,Scott,0.9,Great_Pyrenees,0.755945,True,529,1177
672591762242805761,10,10,Taz,1.0,kuvasz,0.777659,True,285,839
672538107540070400,7,10,Darby,0.7,Chihuahua,0.160274,True,317,899
672523490734551040,10,10,no-name,1.0,golden_retriever,0.5659810000000001,True,146,552
672488522314567680,10,10,Jackie,1.0,Doberman,0.605358,True,371,990
672482722825261057,10,10,light,1.0,West_Highland_white_terrier,0.5861729999999999,True,518,990
672481316919734272,12,10,Jazz,1.2,Border_collie,0.599454,True,110,639
672466075045466113,12,10,Franq,1.2,cocker_spaniel,0.150424,True,447,1191
672272411274932228,11,10,Pippin,1.1,pug,0.914685,True,2926,5704
672267570918129665,10,10,no-name,1.0,Irish_terrier,0.716932,True,535,1313
672264251789176834,10,10,Kreg,1.0,Chihuahua,0.6098600000000001,True,287,1010
672254177670729728,11,10,Rolf,1.1,pug,0.979487,True,650,1275
672248013293752320,10,10,no-name,1.0,Irish_terrier,0.4131729999999999,True,522,1531
672245253877968896,12,10,Snickers,1.2,Chihuahua,0.7189439999999999,True,132,607
672239279297454080,7,10,Ridley,0.7,pug,0.332536,True,276,803
672222792075620352,9,10,Cal,0.9,beagle,0.958178,True,176,699
672169685991993344,10,10,Bradley,1.0,cocker_spaniel,0.991011,True,319,909
672160042234327040,8,10,Bubba,0.8,pug,0.561027,True,304,766
672139350159835138,12,10,no-name,1.2,Rottweiler,0.290992,True,595,1543
672125275208069120,11,10,just,1.1,golden_retriever,8.67567e-05,True,989,2115
672095186491711488,9,10,Tuco,0.9,pug,0.794087,True,328,877
672082170312290304,11,10,Patch,1.1,toy_poodle,0.1239619999999999,True,319,835
672068090318987265,7,10,Gizmo,0.7,pug,0.8633850000000001,True,439,1132
671896809300709376,10,10,Lola,1.0,chow,0.243529,True,3674,7605
671891728106971137,11,10,Mojo,1.1,Labrador_retriever,0.567933,True,483,1171
671866342182637568,10,10,Dylan,1.0,Labrador_retriever,0.8756139999999999,True,418,994
671789708968640512,13,10,space,1.3,dalmatian,0.1142589999999999,True,2997,6309
671768281401958400,10,10,no-name,1.0,Chihuahua,0.500373,True,434,1048
671743150407421952,11,10,a,1.1,toy_poodle,0.419427,True,201,674
671735591348891648,11,10,Oscar,1.1,Irish_wolfhound,0.0630781999999999,True,653,1286
671729906628341761,13,10,no-name,1.3,kuvasz,0.4314689999999999,True,3794,7486
671561002136281088,13,10,the,1.3,Gordon_setter,0.4693729999999999,True,6312,11377
671542985629241344,10,10,JD,1.0,Shetland_sheepdog,0.980339,True,484,966
671536543010570240,9,10,Reginald,0.9,pug,0.537652,True,343,1034
671528761649688577,10,10,Jax,1.0,Doberman,0.782626,True,216,737
671520732782923777,10,10,Alejandro,1.0,Pomeranian,0.551031,True,454,1217
671518598289059840,9,10,Scruffers,0.9,Lakeland_terrier,0.428275,True,252,830
671504605491109889,11,10,Charlie,1.1,toy_poodle,0.259115,True,3118,6230
671486386088865792,10,10,Malcolm,1.0,German_shepherd,0.8270350000000001,True,173,509
671485057807351808,11,10,Penelope,1.1,Samoyed,0.627901,True,195,679
671357843010908160,9,10,no-name,0.9,Italian_greyhound,0.831757,True,133,351
671355857343524864,10,10,Lou,1.0,miniature_poodle,0.313811,True,104,420
671186162933985280,10,10,Sparky,1.0,Chihuahua,0.319106,True,176,641
671182547775299584,12,10,no-name,1.2,Rottweiler,0.331179,True,283,978
671154572044468225,11,10,Holly,1.1,Labrador_retriever,0.495047,True,186,625
671151324042559489,12,10,no-name,1.2,Rottweiler,0.781201,True,128,588
671147085991960577,9,10,a,0.9,Yorkshire_terrier,0.467202,True,192,583
671138694582165504,10,10,no-name,1.0,Samoyed,0.587342,True,340,821
671134062904504320,8,10,Clarence,0.8,Shih-Tzu,0.1803799999999999,True,162,653
671122204919246848,4,10,no-name,0.4,Chihuahua,0.101228,True,2183,3082
671115716440031232,6,10,Phred,0.6,malinois,0.406341,True,670,1214
671109016219725825,8,10,Toby,0.8,basenji,0.855959,True,377,1005
670995969505435648,12,10,no-name,1.2,redbone,0.8662209999999999,True,243,967
670840546554966016,10,10,Colby,1.0,Shih-Tzu,0.963622,True,166,524
670833812859932673,7,10,Jett,0.7,Pekinese,0.609853,True,109,382
670832455012716544,10,10,Amy,1.0,malinois,0.317607,True,184,647
670823764196741120,12,10,Remington,1.2,Labrador_retriever,0.947453,True,160,674
670822709593571328,10,10,no-name,1.0,Chihuahua,0.00125152,True,83,544
670815497391357952,10,10,Sage,1.0,American_Staffordshire_terrier,0.919714,True,1316,2776
670811965569282048,10,10,Maggie,1.0,basset,0.99409,True,230,983
670807719151067136,11,10,Andy,1.1,Old_English_sheepdog,0.958035,True,425,1052
670804601705242624,10,10,Mason,1.0,Pomeranian,0.86856,True,818,1737
670803562457407488,10,10,no-name,1.0,basenji,0.344101,True,77,300
670797304698376195,11,10,Trigger,1.1,Pembroke,0.472197,True,203,659
670792680469889025,7,10,Antony,0.7,toy_poodle,0.031355,True,237,732
670789397210615808,9,10,no-name,0.9,beagle,0.295966,True,210,583
670786190031921152,8,10,Creg,0.8,Pembroke,0.127438,True,170,527
670782429121134593,5,10,no-name,0.5,Chihuahua,0.952963,True,656,1347
670780561024270336,7,10,Traviss,0.7,Labrador_retriever,0.244889,True,249,701
670778058496974848,10,10,no-name,1.0,pug,0.776612,True,62,297
670764103623966721,10,10,Vincent,1.0,Norfolk_terrier,0.17285,True,371,956
670755717859713024,9,10,Gin,0.9,keeshond,0.994065,True,87,392
670717338665226240,12,10,no-name,1.2,Pomeranian,0.368161,True,417,1053
670704688707301377,6,10,Danny,0.6,Norwich_terrier,0.419838,True,318,686
