892420643555336193,6983,33732
892177421306343426,5285,29267
891815181378084864,3469,21998
891689557279858688,7202,36823
891327558926688256,7734,35199
891087950875897856,2590,17758
890971913173991426,1652,10338
890729181411237888,15710,56686
890609185150312448,3610,24459
890240255349198849,6087,27873
890006608113172480,6130,26977
889880896479866881,4149,24514
889665388333682689,8323,41935
889638837579907072,3705,23593
889531135344209921,1877,13320
889278841981685760,4430,22037
888917238123831296,3753,25555
888804989199671297,3519,22403
888554962724278272,2870,17274
888554962724278272,2870,17274
888078434458587136,2889,19110
887705289381826560,4526,26548
887517139158093824,9827,40618
887473957103951883,14986,60040
887343217045368832,8795,29507
887101392804085760,4975,26910
886983233522544640,6296,30291
886736880519319552,2622,10481
886680336477933568,3726,19683
886366144734445568,2620,18516
886267009285017600,4,105
886258384151887873,5268,24467
886054160059072513,93,0
885984800019947520,5597,28536
885528943205470208,5316,31537
885518971528720385,3102,17964
885311592912609280,15397,0
885167619883638784,3660,19203
884925521741709313,14977,67052
884876753390489601,4654,24319
884562892145688576,3902,21276
884441805382717440,4783,23808
884247878851493888,16864,63088
884162670584377345,2496,17906
883838122936631299,2854,19110
883482846933004288,8242,40097
883360690899218434,3064,19904
883117836046086144,5518,32434
882992080364220416,3233,20931
882762694511734784,4083,24731
882627270321602560,5049,24540
882268110199369728,9601,39101
882045870035918850,4072,25652
881906580714921986,2844,21398
881666595344535552,8928,44438
881633300179243008,8,113
881536004380872706,13368,43339
881268444196462592,4486,20437
880935762899988482,2329,15012
880872448815771648,3195,18671
880465832366813184,5206,24962
880221127280381952,3456,23601
880095782870896641,3642,24269
879862464715927552,2916,19658
879674319642796034,9,280
879492040517615616,2625,20664
879415818425184262,37305,92622
879376492567855104,2639,14820
879130579576475649,5726,0
879050749262655488,3943,19763
879008229531029506,2238,16738
878776093423087618,3425,17089
878604707211726852,5911,26379
878404777348136964,1073,0
878316110768087041,5515,0
878281511006478336,1073,6764
878057613040115712,5726,37067
877736472329191424,15762,69049
877611172832227328,70,0
877556246731214848,3162,19857
877316821321428993,4334,24081
877201837425926144,4615,23810
876838120628539392,2799,18178
876537666061221889,3963,21000
876484053909872640,1993,16527
876120275196170240,3895,24638
875747767867523072,3570,22056
875144289856114688,4141,19384
875097192612077568,5105,24204
875021211251597312,3961,22504
874680097055178752,3912,24545
874434818259525634,12178,0
874296783580663808,3476,22917
874057562936811520,3371,20077
874012996292530176,8573,30063
874012996292530176,8573,30063
873580283840344065,3338,21337
873337748698140672,1327,0
873213775632977920,1327,6309
872967104147763200,4549,24008
872820683541237760,3163,13041
872820683541237760,3163,13041
872620804844003328,3062,18289
872486979161796608,7699,36031
872486979161796608,7699,36031
872122724285648897,6817,30148
871879754684805121,9222,33009
871762521631449091,2963,17846
871515927908634625,2930,17861
871166179821445120,4881,0
871102520638267392,4662,18500
871032628920680449,3217,20128
870804317367881728,5271,29736
870726314365509632,3,105
870656317836468226,2198,10874
870374049280663552,22701,73814
870308999962521604,3542,19445
870063196459192321,7060,32344
870063196459192321,7060,32344
869772420881756160,8675,37920
869702957897576449,5374,25000
869596645499047938,2629,14157
869227993411051520,3193,18096
868880397819494401,12228,57803
868639477480148993,1748,0
868622495443632128,4451,23598
868552278524837888,1748,8951
867900495410671616,3561,21554
867774946302451713,6239,30196
867421006826221569,2110,14317
867072653475098625,101,0
867051520902168576,6764,28651
867051520902168576,6764,28651
866720684873056260,4125,17843
866686824827068416,2963,17084
866450705531457537,30119,108617
866334964761202691,12178,46493
866094527597207552,7148,0
865718153858494464,4832,22880
865359393868664832,4278,23539
865006731092295680,6650,24992
864873206498414592,7487,28798
864279568663928832,2575,13050
864197398364647424,7574,26592
863907417377173506,3581,18397
863553081350529029,3623,13655
863471782782697472,2090,0
863432100342583297,4548,21255
863427515083354112,80,1957
863079547188785154,952,7878
863062471531167744,2090,7514
862831371563274240,4451,17189
862722525377298433,3084,15307
862457590147678208,4237,18241
862096992088072192,19939,66077
862096992088072192,19939,66077
861383897657036800,9249,32229
861288531465048066,3581,15316
861005113778896900,3328,14969
860981674716409858,1853,0
860924035999428608,676,0
860563773140209665,1853,6712
860524505164394496,4594,21206
